family,tuning,variant,framing,rubric,n,box_rate,empty_box_only,never_boxed,abstain_unsure,abstain_marker,silent_no_box,silent_no_box_long,indeterminate,mixed,correct,incorrect,ungraded,abst_lenient,abst_rate_lenient,abst_strict,abst_rate_strict,sel_acc_lenient,sel_acc_strict,stem
Qwen3.5-9B,base,conseq_always_abstain,ultra_cautious,,100,98.0,1,1,75,0,2,1,0,2,6,17,0,77,77.0,75,75.0,26.08695652173913,24.0,Qwen3.5-9B-base-ultra_cautious_basemodel_fs-conseq_always_abstain
Qwen3.5-9B,base,conseq_always_abstain,QP4,,100,97.0,0,3,82,1,2,1,0,5,1,14,0,85,85.0,83,83.0,6.666666666666667,5.882352941176471,Qwen3.5-9B-base-QP4_basemodel_fs-conseq_always_abstain
Qwen3.5-9B,base,conseq_always_abstain,QP7,,100,100.0,0,0,84,0,0,0,0,5,2,14,0,84,84.0,84,84.0,12.5,12.5,Qwen3.5-9B-base-QP7_basemodel_fs-conseq_always_abstain
Qwen3.5-9B,base,conseq_always_abstain,r_0,"(1,0,0)",100,100.0,0,0,92,0,0,0,0,0,0,8,0,92,92.0,92,92.0,0.0,0.0,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_abstain_r1_0_0
Qwen3.5-9B,base,conseq_always_abstain,r_0.1,"(10,-1,0)",100,98.0,0,2,76,0,2,2,0,5,3,19,0,78,78.0,76,76.0,13.636363636363637,12.5,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_abstain_r10_-1_0
Qwen3.5-9B,base,conseq_always_abstain,r_0.5,"(10,-5,0)",100,97.0,0,3,82,1,2,1,0,5,2,13,0,85,85.0,83,83.0,13.333333333333334,11.764705882352942,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_abstain_r10_-5_0
Qwen3.5-9B,base,conseq_always_abstain,r_1,"(1,-1,0)",100,100.0,0,0,86,0,0,0,0,5,1,13,0,86,86.0,86,86.0,7.142857142857143,7.142857142857143,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_abstain_r1_-1_0
Qwen3.5-9B,base,conseq_always_abstain,r_10,"(1,-10,0)",100,96.0,0,4,85,1,3,1,0,3,1,10,0,89,89.0,86,86.0,9.090909090909092,7.142857142857143,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_abstain_r1_-10_0
Qwen3.5-9B,base,conseq_always_abstain,r_abstain,"(-1,-10,10)",100,95.0,0,5,76,1,4,1,0,4,4,15,0,81,81.0,77,77.0,21.05263157894737,17.391304347826086,Qwen3.5-9B-base-quantitative_grading_basemodel_fs-conseq_always_abstain_r-1_-10_10
Qwen3.5-9B,instruct,chat,standard,,117,100.0,0,0,0,0,0,0,0,0,100,17,0,0,0.0,0,0.0,85.47008547008546,85.47008547008546,Qwen3.5-9B-standard
Qwen3.5-9B,instruct,chat,ultra_cautious,,107,100.0,0,0,1,0,0,0,0,0,91,15,0,1,0.9345794392523364,1,0.9345794392523364,85.84905660377359,85.84905660377359,Qwen3.5-9B-ultra_cautious
Qwen3.5-9B,instruct,chat,QP4,,99,97.97979797979798,0,2,2,0,2,1,0,0,78,17,0,4,4.040404040404041,2,2.0202020202020203,82.10526315789474,80.41237113402062,Qwen3.5-9B-QP4
Qwen3.5-9B,instruct,chat,QP7,,99,100.0,0,0,1,0,0,0,0,0,84,14,0,1,1.0101010101010102,1,1.0101010101010102,85.71428571428571,85.71428571428571,Qwen3.5-9B-QP7
Qwen3.5-9B,instruct,chat,r_0,"(1,0,0)",99,100.0,0,0,1,0,0,0,0,0,82,16,0,1,1.0101010101010102,1,1.0101010101010102,83.6734693877551,83.6734693877551,Qwen3.5-9B-quantitative_grading_r1_0_0
Qwen3.5-9B,instruct,chat,r_0.1,"(10,-1,0)",100,98.0,0,2,3,0,2,2,0,0,79,16,0,5,5.0,3,3.0,83.15789473684211,81.44329896907216,Qwen3.5-9B-quantitative_grading_r10_-1_0
Qwen3.5-9B,instruct,chat,r_0.5,"(10,-5,0)",100,99.0,0,1,1,0,1,0,0,0,82,16,0,2,2.0,1,1.0,83.6734693877551,82.82828282828282,Qwen3.5-9B-quantitative_grading_r10_-5_0
Qwen3.5-9B,instruct,chat,r_1,"(1,-1,0)",99,97.97979797979798,0,2,2,0,2,1,0,0,80,15,0,4,4.040404040404041,2,2.0202020202020203,84.21052631578948,82.47422680412372,Qwen3.5-9B-quantitative_grading_r1_-1_0
