model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,5,50–60%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,6,60–70%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,7,70–80%,55,1,0.01818181818181818,0.003216780454841077,0.09605776062162397,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,8,80–90%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,percentile_bin,9,90–100%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,0,0–10%,40,1,0.025,0.0044268315026814095,0.1288136896347409,0.71,0.4875,0.775
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,1,10–20%,40,0,0.0,0.0,0.08762160119728664,0.88375,0.825,0.9125
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,2,20–30%,48,0,0.0,6.938893903907228e-18,0.07410012966611748,0.9552083333333332,0.925,0.9625
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,3,30–40%,36,0,0.0,0.0,0.09641862859446367,0.9750000000000001,0.975,0.975
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,4,40–50%,16,0,0.0,0.0,0.1936076805344365,0.9875,0.9875,0.9875
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,5,50–60%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,6,60–70%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,7,70–80%,220,3,0.013636363636363636,0.0046482370569133034,0.039317965060173155,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,8,80–90%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,percentile_bin,9,90–100%,0,0,,,,,,
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,0,0–10%,10,0,0.0,0.0,0.2775327998628892,0.146,0.09,0.215
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,1,10–20%,10,0,0.0,0.0,0.2775327998628892,0.26675000000000004,0.2175,0.31
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,2,20–30%,10,2,0.2,0.05668215145437519,0.5098375284633583,0.3405,0.3125,0.3775
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,3,30–40%,10,0,0.0,0.0,0.2775327998628892,0.41425,0.3925,0.4375
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,4,40–50%,10,0,0.0,0.0,0.2775327998628892,0.47525000000000006,0.4425,0.5325
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,5,50–60%,10,0,0.0,0.0,0.2775327998628892,0.592,0.5375,0.635
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,6,60–70%,9,0,0.0,0.0,0.2991450484195441,0.6697222222222222,0.64,0.7075
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,7,70–80%,11,1,0.09090909090909091,0.016232172885884855,0.37735843645159567,0.7672727272727272,0.725,0.8049999999999999
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,8,80–90%,10,0,0.0,0.0,0.2775327998628892,0.8295833333333335,0.8075,0.85
gpt-5.4-nano,GPT-5.4 Nano,Quant-25,percentile_bin,9,90–100%,10,0,0.0,0.0,0.2775327998628892,0.9265000000000001,0.86,0.99
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,0,0–10%,10,1,0.1,0.017876213095072896,0.4041500267952385,0.146,0.09,0.215
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,1,10–20%,10,0,0.0,0.0,0.2775327998628892,0.26675000000000004,0.2175,0.31
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,2,20–30%,10,1,0.1,0.017876213095072896,0.4041500267952385,0.3405,0.3125,0.3775
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,3,30–40%,10,0,0.0,0.0,0.2775327998628892,0.41425,0.3925,0.4375
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,4,40–50%,10,1,0.1,0.017876213095072896,0.4041500267952385,0.47524999999999995,0.4425,0.5325
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,5,50–60%,10,0,0.0,0.0,0.2775327998628892,0.592,0.5375,0.635
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,6,60–70%,9,0,0.0,0.0,0.2991450484195441,0.6697222222222222,0.64,0.7075
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,7,70–80%,11,1,0.09090909090909091,0.016232172885884855,0.37735843645159567,0.7672727272727272,0.725,0.8049999999999999
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,8,80–90%,10,0,0.0,0.0,0.2775327998628892,0.8295833333333332,0.8075,0.85
gpt-5.4-nano,GPT-5.4 Nano,Quant-100,percentile_bin,9,90–100%,10,0,0.0,0.0,0.2775327998628892,0.9265000000000001,0.86,0.99
gpt-5.4-nano,GPT-5.4 Nano,QP6,percentile_bin,0,0–10%,10,2,0.2,0.05668215145437519,0.5098375284633583,0.146,0.09,0.215
gpt-5.4-nano,GPT-5.4 Nano,QP6,percentile_bin,1,10–20%,10,1,0.1,0.017876213095072896,0.4041500267952385,0.26675000000000004,0.2175,0.31
gpt-5.4-nano,GPT-5.4 Nano,QP6,percentile_bin,2,20–30%,10,4,0.4,0.16818032970623614,0.6873262302663417,0.3405,0.3125,0.3775
gpt-5.4-nano,GPT-5.4 Nano,QP6,percentile_bin,3,30–40%,10,1,0.1,0.017876213095072896,0.4041500267952385,0.41425,0.3925,0.4375
gpt-5.4-nano,GPT-5.4 Nano,QP6,percentile_bin,4,40–50%,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656,0.4766666666666667,0.4425,0.5325
