proxy,model,model_display,setting,n,unique_problems,baseline_abstentions,baseline_abstention_rate,abstention_ci_low,abstention_ci_high,mean_confidence,median_confidence,abstained_mean_confidence,submitted_mean_confidence,abstained_minus_submitted_confidence
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,100,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.9512500000000002,1.0,1.0,0.9507575757575759,0.04924242424242409
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,400,100,4,0.01,0.003895483794990993,0.025426564652619582,0.95125,1.0,0.934375,0.9514204545454547,-0.017045454545454697
question_mean,gpt-5.4-nano,GPT-5.4 Nano,Quant-25,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5437583333333333,0.5349999999999999,0.45249999999999996,0.5465807560137458,-0.09408075601374583
question_mean,gpt-5.4-nano,GPT-5.4 Nano,Quant-100,100,100,4,0.04,0.01566330399154762,0.0983707143588792,0.5437583333333333,0.5349999999999999,0.43062500000000004,0.5484722222222221,-0.1178472222222221
question_mean,gpt-5.4-nano,GPT-5.4 Nano,QP6,99,99,11,0.1111111111111111,0.06318563453857474,0.1880890859586244,0.5445791245791246,0.5375,0.3740909090909091,0.5658901515151515,-0.19179924242424246
question_mean,gpt-5.4-nano,GPT-5.4 Nano,QP7,100,100,3,0.03,0.010254524024038925,0.0845193642905276,0.5437583333333333,0.5349999999999999,0.41916666666666663,0.5476116838487972,-0.12844501718213058
question_mean,gpt-5.4-nano,GPT-5.4 Nano,Pooled,399,100,21,0.05263157894736842,0.034678869065688386,0.07911641644165134,0.5439619883040936,0.5375,0.4025,0.551820987654321,-0.14932098765432095
question_mean,qwen3.5-397b,Qwen3.5-397B,Quant-25,98,98,6,0.061224489795918366,0.02835932368138567,0.12719087173151772,0.9319557823129251,0.99875,0.86875,0.9360778985507249,-0.06732789855072485
question_mean,qwen3.5-397b,Qwen3.5-397B,Quant-100,99,99,3,0.030303030303030304,0.010358639578454044,0.08533680206102018,0.9270454545454547,0.9975,0.75,0.932578125,-0.18257812500000004
question_mean,qwen3.5-397b,Qwen3.5-397B,QP6,99,99,5,0.050505050505050504,0.021763234491416872,0.11282702686248858,0.9297390572390574,0.9975,0.9109999999999999,0.9307358156028371,-0.019735815602837214
question_mean,qwen3.5-397b,Qwen3.5-397B,QP7,99,99,5,0.050505050505050504,0.021763234491416872,0.11282702686248858,0.928939393939394,0.9975,0.9184999999999999,0.929494680851064,-0.010994680851064143
question_mean,qwen3.5-397b,Qwen3.5-397B,Pooled,395,100,19,0.04810126582278481,0.031007332931099734,0.07390016325651363,0.9294135021097047,0.9975,0.8742105263157894,0.9322030141843971,-0.05799248786860767
