cohort,model,intervention,setting,raw_bin,bin_label,n,correct,mean_confidence,candidate_accuracy,ci_low,ci_high
all_candidates,deepseek-v4-pro,2,QP7,7,70–80%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,8,80–90%,0,0,,,,
all_candidates,deepseek-v4-pro,2,QP7,9,90–100%,87,82,0.9964367816091954,0.9425287356321839,0.8724262350954837,0.9752043622068465
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,0,0–10%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,1,10–20%,1,0,0.1,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,2,20–30%,2,0,0.2,0.0,0.0,0.6576197724933469
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,4,40–50%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,5,50–60%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,6,60–70%,2,1,0.6,0.5,0.09453120573423074,0.9054687942657693
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,7,70–80%,1,0,0.7,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,8,80–90%,10,1,0.8150000000000001,0.1,0.017876213095072896,0.4041500267952385
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-25,9,90–100%,83,57,0.9686746987951808,0.6867469879518072,0.5805862952746208,0.7763860589554854
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,0,0–10%,1,0,0.05,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,1,10–20%,3,0,0.10000000000000002,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,2,20–30%,1,0,0.2,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,4,40–50%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,5,50–60%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,6,60–70%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,7,70–80%,2,0,0.7,0.0,0.0,0.6576197724933469
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,8,80–90%,10,0,0.8150000000000001,0.0,0.0,0.2775327998628892
all_candidates,gemini-3.1-flash-lite-preview,1,Quant-100,9,90–100%,82,56,0.9737804878048781,0.6829268292682927,0.5759621358417956,0.7735193432959727
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,1,10–20%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,2,20–30%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,3,30–40%,0,0,,,,
all_candidates,gemini-3.1-flash-lite-preview,1,QP6,4,40–50%,0,0,,,,
