model,intervention,setting,percentile_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
deepseek-v4-pro,2,QP6,0,10,7,0.19,0.0,0.95,0.7,0.39677814746114537,0.8922087325936989,0–10%
deepseek-v4-pro,2,QP6,1,4,2,0.9875,0.98,0.99,0.5,0.15003898915214947,0.8499610108478506,10–20%
deepseek-v4-pro,2,QP6,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,QP6,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,QP6,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,QP6,5,84,2,1.0,1.0,1.0,0.023809523809523808,0.006553902690167361,0.08271441008569919,50–60%
deepseek-v4-pro,2,QP6,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,QP6,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,QP6,8,0,0,,,,,,,80–90%
deepseek-v4-pro,2,QP6,9,0,0,,,,,,,90–100%
deepseek-v4-pro,2,QP7,0,10,10,0.27999999999999997,0.0,0.95,1.0,0.7224672001371107,0.9999999999999999,0–10%
deepseek-v4-pro,2,QP7,1,9,3,0.9877777777777779,0.98,0.99,0.3333333333333333,0.1205838183869109,0.6457978644196036,10–20%
deepseek-v4-pro,2,QP7,2,0,0,,,,,,,20–30%
deepseek-v4-pro,2,QP7,3,0,0,,,,,,,30–40%
deepseek-v4-pro,2,QP7,4,0,0,,,,,,,40–50%
deepseek-v4-pro,2,QP7,5,75,2,1.0,1.0,1.0,0.02666666666666667,0.0073436890061313945,0.09211488187759151,50–60%
deepseek-v4-pro,2,QP7,6,0,0,,,,,,,60–70%
deepseek-v4-pro,2,QP7,7,0,0,,,,,,,70–80%
deepseek-v4-pro,2,QP7,8,0,0,,,,,,,80–90%
deepseek-v4-pro,2,QP7,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,1,Quant-25,0,14,12,0.5785714285714285,0.1,0.8,0.8571428571428571,0.6005862050302965,0.9599060787285351,0–10%
gemini-3.1-flash-lite-preview,1,Quant-25,1,18,7,0.8916666666666667,0.85,0.9,0.3888888888888889,0.2030524657216362,0.613809583977621,10–20%
gemini-3.1-flash-lite-preview,1,Quant-25,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,1,Quant-25,3,22,1,0.95,0.95,0.95,0.045454545454545456,0.00806942762126385,0.21798045838657332,30–40%
gemini-3.1-flash-lite-preview,1,Quant-25,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,1,Quant-25,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,Quant-25,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,1,Quant-25,7,46,1,1.0,1.0,1.0,0.021739130434782608,0.0038478542580502872,0.11335294521511355,70–80%
gemini-3.1-flash-lite-preview,1,Quant-25,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,1,Quant-25,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,1,Quant-100,0,14,9,0.5392857142857143,0.05,0.8,0.6428571428571429,0.38764423103907397,0.8365526824644587,0–10%
gemini-3.1-flash-lite-preview,1,Quant-100,1,10,5,0.885,0.85,0.9,0.5,0.236593090512564,0.7634069094874361,10–20%
gemini-3.1-flash-lite-preview,1,Quant-100,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,1,Quant-100,3,30,1,0.95,0.95,0.95,0.03333333333333333,0.005908590381612455,0.16670390991409173,30–40%
gemini-3.1-flash-lite-preview,1,Quant-100,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,1,Quant-100,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,Quant-100,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,1,Quant-100,7,46,0,1.0,1.0,1.0,0.0,0.0,0.07707356308558039,70–80%
gemini-3.1-flash-lite-preview,1,Quant-100,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,1,Quant-100,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,1,QP6,0,5,4,0.34,0.0,0.8,0.8,0.37553462976252533,0.9637758913675698,0–10%
gemini-3.1-flash-lite-preview,1,QP6,1,2,0,0.85,0.85,0.85,0.0,0.0,0.6576197724933469,10–20%
gemini-3.1-flash-lite-preview,1,QP6,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,1,QP6,3,27,0,0.95,0.95,0.95,0.0,0.0,0.12455502974186705,30–40%
gemini-3.1-flash-lite-preview,1,QP6,4,1,0,0.98,0.98,0.98,0.0,0.0,0.7934506856227626,40–50%
gemini-3.1-flash-lite-preview,1,QP6,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,QP6,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,1,QP6,7,65,0,1.0,1.0,1.0,0.0,0.0,0.05580153132285689,70–80%
gemini-3.1-flash-lite-preview,1,QP6,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,1,QP6,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,1,QP7,0,3,3,0.26666666666666666,0.1,0.6,1.0,0.4385029682449546,1.0,0–10%
gemini-3.1-flash-lite-preview,1,QP7,1,10,0,0.8800000000000001,0.85,0.9,0.0,0.0,0.2775327998628892,10–20%
gemini-3.1-flash-lite-preview,1,QP7,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,1,QP7,3,31,0,0.95,0.95,0.95,0.0,0.0,0.11025539546043596,30–40%
gemini-3.1-flash-lite-preview,1,QP7,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,1,QP7,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,QP7,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,1,QP7,7,56,0,1.0,1.0,1.0,0.0,6.938893903907228e-18,0.06419393671876342,70–80%
gemini-3.1-flash-lite-preview,1,QP7,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,1,QP7,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,2,Quant-25,0,10,10,0.5549999999999999,0.1,0.9,1.0,0.7224672001371107,0.9999999999999999,0–10%
gemini-3.1-flash-lite-preview,2,Quant-25,1,13,9,0.95,0.95,0.95,0.6923076923076923,0.42369343180549035,0.8731929634428948,10–20%
gemini-3.1-flash-lite-preview,2,Quant-25,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,2,Quant-25,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,Quant-25,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,Quant-25,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,2,Quant-25,6,77,13,1.0,1.0,1.0,0.16883116883116883,0.10140668708276009,0.2677288932991118,60–70%
gemini-3.1-flash-lite-preview,2,Quant-25,7,0,0,,,,,,,70–80%
gemini-3.1-flash-lite-preview,2,Quant-25,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,2,Quant-25,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,2,Quant-100,0,12,7,0.5916666666666667,0.0,0.9,0.5833333333333334,0.31951131254954973,0.8067396863412435,0–10%
gemini-3.1-flash-lite-preview,2,Quant-100,1,11,8,0.95,0.95,0.95,0.7272727272727273,0.43435469882387084,0.902539407099751,10–20%
gemini-3.1-flash-lite-preview,2,Quant-100,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,2,Quant-100,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,Quant-100,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,Quant-100,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,2,Quant-100,6,77,17,1.0,1.0,1.0,0.22077922077922077,0.14266403041098702,0.32543067461686576,60–70%
gemini-3.1-flash-lite-preview,2,Quant-100,7,0,0,,,,,,,70–80%
gemini-3.1-flash-lite-preview,2,Quant-100,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,2,Quant-100,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,2,QP6,0,14,9,0.6321428571428571,0.05,0.9,0.6428571428571429,0.38764423103907397,0.8365526824644587,0–10%
gemini-3.1-flash-lite-preview,2,QP6,1,14,6,0.95,0.95,0.95,0.42857142857142855,0.21380798904474121,0.6740935542034926,10–20%
gemini-3.1-flash-lite-preview,2,QP6,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,2,QP6,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,QP6,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,QP6,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,2,QP6,6,72,4,1.0,1.0,1.0,0.05555555555555555,0.02181421598131665,0.13432015965997918,60–70%
gemini-3.1-flash-lite-preview,2,QP6,7,0,0,,,,,,,70–80%
gemini-3.1-flash-lite-preview,2,QP6,8,0,0,,,,,,,80–90%
gemini-3.1-flash-lite-preview,2,QP6,9,0,0,,,,,,,90–100%
gemini-3.1-flash-lite-preview,2,QP7,0,12,6,0.7999999999999999,0.1,0.9,0.5,0.2537815976337061,0.7462184023662939,0–10%
gemini-3.1-flash-lite-preview,2,QP7,1,14,5,0.95,0.95,0.95,0.35714285714285715,0.1634473175355414,0.612355768960926,10–20%
gemini-3.1-flash-lite-preview,2,QP7,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,2,QP7,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,QP7,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,QP7,5,0,0,,,,,,,50–60%
