model,intervention,setting,raw_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
gemini-3.1-flash-lite-preview,1,QP6,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,QP6,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,1,QP6,7,0,0,,,,,,,70–80%
gemini-3.1-flash-lite-preview,1,QP6,8,4,1,0.825,0.8,0.85,0.25,0.04558726080970055,0.6993581574175981,80–90%
gemini-3.1-flash-lite-preview,1,QP6,9,93,0,0.985268817204301,0.95,1.0,0.0,0.0,0.03966750261173514,90–100%
gemini-3.1-flash-lite-preview,1,QP7,0,0,0,,,,,,,0–10%
gemini-3.1-flash-lite-preview,1,QP7,1,2,2,0.1,0.1,0.1,1.0,0.34238022750665303,1.0,10–20%
gemini-3.1-flash-lite-preview,1,QP7,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,1,QP7,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,1,QP7,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,1,QP7,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,1,QP7,6,1,1,0.6,0.6,0.6,1.0,0.20654931437723745,1.0,60–70%
gemini-3.1-flash-lite-preview,1,QP7,7,0,0,,,,,,,70–80%
gemini-3.1-flash-lite-preview,1,QP7,8,4,0,0.85,0.85,0.85,0.0,0.0,0.4898908364545973,80–90%
gemini-3.1-flash-lite-preview,1,QP7,9,93,0,0.9768817204301075,0.9,1.0,0.0,0.0,0.03966750261173514,90–100%
gemini-3.1-flash-lite-preview,2,Quant-25,0,0,0,,,,,,,0–10%
gemini-3.1-flash-lite-preview,2,Quant-25,1,3,3,0.10000000000000002,0.1,0.1,1.0,0.4385029682449546,1.0,10–20%
gemini-3.1-flash-lite-preview,2,Quant-25,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,2,Quant-25,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,Quant-25,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,Quant-25,5,2,2,0.5,0.5,0.5,1.0,0.34238022750665303,1.0,50–60%
gemini-3.1-flash-lite-preview,2,Quant-25,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,2,Quant-25,7,1,1,0.7,0.7,0.7,1.0,0.20654931437723745,1.0,70–80%
gemini-3.1-flash-lite-preview,2,Quant-25,8,1,1,0.85,0.85,0.85,1.0,0.20654931437723745,1.0,80–90%
gemini-3.1-flash-lite-preview,2,Quant-25,9,93,25,0.9897849462365591,0.9,1.0,0.26881720430107525,0.18921308125080688,0.3667622156556944,90–100%
gemini-3.1-flash-lite-preview,2,Quant-100,0,2,2,0.025,0.0,0.05,1.0,0.34238022750665303,1.0,0–10%
gemini-3.1-flash-lite-preview,2,Quant-100,1,2,2,0.1,0.1,0.1,1.0,0.34238022750665303,1.0,10–20%
gemini-3.1-flash-lite-preview,2,Quant-100,2,0,0,,,,,,,20–30%
gemini-3.1-flash-lite-preview,2,Quant-100,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,Quant-100,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,Quant-100,5,0,0,,,,,,,50–60%
gemini-3.1-flash-lite-preview,2,Quant-100,6,0,0,,,,,,,60–70%
gemini-3.1-flash-lite-preview,2,Quant-100,7,1,0,0.7,0.7,0.7,0.0,0.0,0.7934506856227626,70–80%
gemini-3.1-flash-lite-preview,2,Quant-100,8,2,1,0.825,0.8,0.85,0.5,0.09453120573423074,0.9054687942657693,80–90%
gemini-3.1-flash-lite-preview,2,Quant-100,9,93,27,0.9887096774193549,0.9,1.0,0.2903225806451613,0.20785401544334214,0.38942590500674046,90–100%
gemini-3.1-flash-lite-preview,2,QP6,0,1,1,0.05,0.05,0.05,1.0,0.20654931437723745,1.0,0–10%
gemini-3.1-flash-lite-preview,2,QP6,1,2,2,0.1,0.1,0.1,1.0,0.34238022750665303,1.0,10–20%
gemini-3.1-flash-lite-preview,2,QP6,2,1,0,0.2,0.2,0.2,0.0,0.0,0.7934506856227626,20–30%
gemini-3.1-flash-lite-preview,2,QP6,3,0,0,,,,,,,30–40%
gemini-3.1-flash-lite-preview,2,QP6,4,0,0,,,,,,,40–50%
gemini-3.1-flash-lite-preview,2,QP6,5,1,1,0.5,0.5,0.5,1.0,0.20654931437723745,1.0,50–60%
